DB Version;Assembly Accession;Chromosome/Plasmid Name;Chromosome/Plasmid Xref;PGD Gene ID;Locus Tag;Feature Type;Start;End;Strand;Gene Name;Gene synonyns;Product Name;Product Name Confidence Class;Product Synonyms;RefSeq Accession;Length (nucleotides);Length (amino acids);Ortholog Group ID;ortholog_fragment?;Putative Inparalog Locus Tag;Putative Inparalog Name;Putative Inparalog Accession;Percent Identity;Alignment Length
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664692;PSPA7_0950;CDS;951338;951637;-;;;hypothetical protein;;;WP_012074299.1;300;100;POG001560;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664694;PSPA7_0951;CDS;951817;952056;+;;;hypothetical protein;;;YP_001346337.1;240;80;POG023981;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664696;PSPA7_0952;CDS;952383;953621;+;tyrS1;;tyrosyl-tRNA synthetase;;;WP_012074301.1;1239;413;POG001561;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664698;PSPA7_0953;CDS;953651;954907;-;;;putative porin;;;WP_012074302.1;1257;419;POG001562;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664700;PSPA7_0954;CDS;955265;956509;+;;;MFS family transporter;;;YP_001346340.1;1245;415;POG001563;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664702;PSPA7_0955;CDS;956506;956619;+;;;hypothetical protein;;;YP_001346341.1;114;38;POG023982;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664704;PSPA7_0956;CDS;956595;957017;+;hpaR;;homoprotocatechuate degradation operon regulator HpaR;;;WP_012074305.1;423;141;POG001564;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664706;PSPA7_0957;CDS;957033;957275;-;;;hypothetical protein;;;WP_012074306.1;243;81;POG001565;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664708;PSPA7_0958;CDS;957359;958786;-;ccoN4;;cbb3-type cytochrome c oxidase subunit I;;;WP_012074307.1;1428;476;POG001566;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664710;PSPA7_0959;CDS;959051;960553;-;;;hypothetical protein;;;YP_001346345.1;1503;501;POG001567;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664712;PSPA7_0960;CDS;960564;961994;-;ccoG2;;cytochrome c oxidase accessory protein CcoG;;;WP_012074309.1;1431;477;POG001568;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664714;PSPA7_0961;CDS;962087;962344;-;;;hypothetical protein;;;YP_001346347.1;258;86;POG023983;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664716;PSPA7_0962;CDS;962390;964063;+;;;sulfite or nitrite reductase;;;WP_012074311.1;1674;558;POG001569;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664718;PSPA7_0963;CDS;964060;964548;+;;;hypothetical protein;;;WP_012074312.1;489;163;POG001570;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664720;PSPA7_0964;CDS;964637;965437;-;hpaI;;2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase;;;WP_012074313.1;801;267;POG001571;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664722;PSPA7_0965;CDS;965450;966253;-;hpaH;;2-oxo-hepta-3-ene-1,7-dioic acid hydratase;;;WP_003157584.1;804;268;POG001572;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664724;PSPA7_0966;CDS;966271;967575;-;;;MFS family transporter;;;WP_012074314.1;1305;435;POG001573;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664726;PSPA7_0967;CDS;967668;968060;-;hpcD;;5-carboxymethyl-2-hydroxymuconate isomerase;;;WP_012074315.1;393;131;POG001574;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664728;PSPA7_0968;CDS;968071;968994;-;hpaD;;homoprotocatechuate 2,3-dioxygenase;;;WP_012074316.1;924;308;POG001575;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664730;PSPA7_0969;CDS;969126;970586;-;hpaE;;5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase;;;WP_012074317.1;1461;487;POG001576;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664732;PSPA7_0970;CDS;970583;971362;-;;;hypothetical protein;;;WP_012074318.1;780;260;POG001577;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664734;PSPA7_0971;CDS;971373;972032;-;;;hypothetical protein;;;WP_012074319.1;660;220;POG001578;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664736;PSPA7_0972;CDS;972212;973162;+;hpaA;;4-hydroxyphenylacetate catabolism regulatory protein HpaA;;;YP_001346358.1;951;317;POG000246;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664738;PSPA7_0973;CDS;973212;974018;+;aph;;aminoglycoside 3-phosphotransferase type IIB;;;WP_003157056.1;807;269;POG001579;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664740;PSPA7_0974;CDS;974132;974701;-;;;hypothetical protein;;;WP_003157057.1;570;190;POG001580;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664742;PSPA7_0975;CDS;974779;976965;-;;;putative bacteriophytochrome;;;YP_001346361.1;2187;729;POG001581;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664744;PSPA7_0976;CDS;976993;977580;-;;;hypothetical protein;;;WP_012074322.1;588;196;POG001582;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664746;PSPA7_0977;CDS;977697;979082;-;;;hypothetical protein;;;WP_012074323.1;1386;462;POG001583;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664748;PSPA7_0978;CDS;979502;979999;+;;;spermidine acetyltransferase;;;WP_012074324.1;498;166;POG001584;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664750;PSPA7_0980;CDS;980152;981342;+;;;sugar efflux transporter;;;WP_003157060.1;1191;397;POG001585;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664752;PSPA7_0979;CDS;981296;981445;-;;;hypothetical protein;;;YP_001346366.1;150;50;POG023984;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664754;PSPA7_0981;CDS;981467;985723;+;;;putative sensor/response regulator hybrid;;;WP_012074326.1;4257;1419;POG001586;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664756;PSPA7_0982;CDS;986318;986440;-;;;hypothetical protein;;;YP_001346368.1;123;41;POG023985;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664758;PSPA7_0983;CDS;986876;987274;-;;;hypothetical protein;;;WP_003157568.1;399;133;POG001587;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664760;PSPA7_0984;CDS;987337;988530;-;ampC;;beta-lactamase;;;WP_012074328.1;1194;398;POG001588;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664762;PSPA7_0985;CDS;988678;989568;+;;;transcriptional regulator AmpR;;;WP_012074329.1;891;297;POG001142;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664764;PSPA7_0986;CDS;989572;989805;-;;;hypothetical protein;;;WP_012074330.1;234;78;POG014717;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664766;PSPA7_0987;CDS;990128;991411;-;;;hypothetical protein;;;YP_001346373.1;1284;428;POG001589;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664768;PSPA7_0988;CDS;991708;992172;+;;;hypothetical protein;;;WP_003157571.1;465;155;POG005151;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664770;PSPA7_0989;CDS;992247;993077;+;;;hypothetical protein;;;WP_012074332.1;831;277;POG002331;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664772;PSPA7_0990;CDS;993070;993819;+;;;hypothetical protein;;;WP_012074333.1;750;250;POG002332;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664774;PSPA7_0991;CDS;994010;994519;-;;;hypothetical protein;;;WP_012074334.1;510;170;POG002333;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664776;PSPA7_0992;CDS;994551;995180;-;;;hypothetical protein;;;WP_012074335.1;630;210;POG005150;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664778;PSPA7_0993;CDS;995309;996613;-;;;two-component sensor;;;WP_012074336.1;1305;435;POG005149;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664780;PSPA7_0994;CDS;996610;997350;-;;;two-component response regulator;;;WP_012074337.1;741;247;POG005148;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664782;PSPA7_0995;CDS;997705;997965;+;;;hypothetical protein;;;WP_012074338.1;261;87;POG014277;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664784;PSPA7_0996;CDS;998071;999750;-;;;alcohol dehydrogenase;;;WP_012074339.1;1680;560;POG001590;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664786;PSPA7_0998;CDS;999769;999906;+;;;hypothetical protein;;;YP_001346383.1;138;46;POG023986;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664788;PSPA7_0997;CDS;999903;1001261;-;;;hypothetical protein;;;YP_001346384.1;1359;453;POG001591;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664790;PSPA7_0999;CDS;1001292;1002017;-;;;putative short-chain dehydrogenase;;;WP_012074342.1;726;242;POG000180;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664792;PSPA7_1000;CDS;1002032;1003090;-;;;putative alcohol dehydrogenase;;;WP_012074343.1;1059;353;POG001548;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664794;PSPA7_1001;CDS;1003087;1004346;-;;;MFS family transporter;;;WP_012074344.1;1260;420;POG001592;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664796;PSPA7_1002;CDS;1004417;1004950;-;;;hypothetical protein;;;WP_003093399.1;534;178;POG001593;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664798;PSPA7_1003;CDS;1005134;1005274;-;;;hypothetical protein;;;YP_001346389.1;141;47;POG023987;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664800;PSPA7_1004;CDS;1005263;1006222;+;;;putative transcriptional regulator;;;WP_012074346.1;960;320;POG001594;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664802;PSPA7_1005;CDS;1006266;1006682;+;;;hypothetical protein;;;WP_003157014.1;417;139;POG001595;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664804;PSPA7_1006;CDS;1006716;1007228;-;hpaC;;4-hydroxyphenylacetate 3-monooxygenase small subunit;;;WP_003157013.1;513;171;POG001599;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664806;PSPA7_1007;CDS;1007258;1008823;-;hpaB;;4-hydroxyphenylacetate 3-monooxygenase large chain;;;YP_001346393.1;1566;522;POG001600;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664808;PSPA7_1008;CDS;1008820;1008939;-;;;hypothetical protein;;;YP_001346394.1;120;40;POG023988;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664810;PSPA7_1009;CDS;1008978;1009268;-;;;hypothetical protein;;;WP_012074349.1;291;97;POG001601;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664812;PSPA7_1010;CDS;1009605;1010366;-;;;3-ketoacyl-ACP reductase;;;WP_012074350.1;762;254;POG000180;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664814;PSPA7_1011;CDS;1010363;1011751;-;;;aminotransferase;;;WP_012074351.1;1389;463;POG001602;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664816;PSPA7_1012;CDS;1011759;1012583;-;;;hypothetical protein;;;WP_012074352.1;825;275;POG001603;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664818;PSPA7_1013;CDS;1012848;1012973;-;;;hypothetical protein;;;YP_001346399.1;126;42;POG023989;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664820;PSPA7_1014;CDS;1013042;1013605;+;;;type I pilus biogensis protein FimA;;;WP_012074354.1;564;188;POG000955;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664822;PSPA7_1015;CDS;1013631;1014377;+;;;chaperone CupB2;;;WP_012074355.1;747;249;POG000956;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664824;PSPA7_1016;CDS;1014672;1017200;+;;;usher CupB3;;;YP_001346402.1;2529;843;POG001604;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664826;PSPA7_1017;CDS;1017197;1017949;+;;;chaperone CupB4;;;WP_012074357.1;753;251;POG000956;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664828;PSPA7_1018;CDS;1018039;1021068;+;;;adhesive protein CupB5;;;WP_012074358.1;3030;1010;POG001605;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664830;PSPA7_1019;CDS;1021177;1022316;+;;;fimbrial protein CupB6;;;WP_012074359.1;1140;380;POG000955;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664832;PSPA7_1020;CDS;1022835;1024034;-;;;response regulator receiver modulated diguanylate phosphodiesterase;;;WP_012074360.1;1200;400;POG019838;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664834;PSPA7_1021;CDS;1024534;1025178;+;;;putative response regulator;;;WP_012074361.1;645;215;POG001606;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664836;PSPA7_1022;CDS;1025198;1025887;-;;;short chain dehydrogenase;;;WP_012074362.1;690;230;POG001607;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664838;PSPA7_1023;CDS;1025985;1028963;-;;;amino acid adenylation domain-containing protein;;;WP_012074363.1;2979;993;POG001608;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664840;PSPA7_1024;CDS;1028925;1029044;+;;;hypothetical protein;;;YP_001346410.1;120;40;POG023990;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664842;PSPA7_1025;CDS;1029174;1029380;-;;;putative transcriptional regulator;;;WP_012074365.1;207;69;POG001609;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664844;PSPA7_1026;CDS;1029377;1029751;-;;;hypothetical protein;;;WP_003150646.1;375;125;POG001610;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664846;PSPA7_1027;CDS;1029925;1030593;-;;;LuxR family transcriptional regulator;;;WP_003150644.1;669;223;POG001612;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664848;PSPA7_1028;CDS;1030822;1032309;+;;;putative aldehyde dehydrogenase;;;WP_012074366.1;1488;496;POG001613;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664850;PSPA7_1029;CDS;1032500;1033993;+;;;amino acid permease;;;WP_012074367.1;1494;498;POG001614;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664852;PSPA7_1030;CDS;1033968;1034543;+;;;hypothetical protein;;;WP_003153853.1;576;192;POG001615;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664854;PSPA7_1031;CDS;1034693;1035643;+;;;DNA-binding transcriptional activator FeaR;;;WP_003153851.1;951;317;POG001594;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664856;PSPA7_1032;CDS;1035919;1036797;+;;;hypothetical protein;;;YP_001346418.1;879;293;POG001616;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664858;PSPA7_1033;CDS;1036790;1037719;+;;;putative epimerase;;;WP_003153847.1;930;310;POG001617;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664860;PSPA7_1034;CDS;1037720;1038076;-;;;invasion gene expression up-regulator SirB;;;WP_012074369.1;357;119;POG014273;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664862;PSPA7_1035;CDS;1038160;1038858;-;oprG;;outer membrane protein OprG precursor;;;WP_012074370.1;699;233;POG001618;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664864;PSPA7_1036;CDS;1039007;1039525;-;;;hypothetical protein;;;WP_012074371.1;519;173;POG001619;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664866;PSPA7_1037;CDS;1039543;1040808;-;;;putative lipoprotein;;;WP_012074372.1;1266;422;POG001620;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664868;PSPA7_1038;CDS;1040811;1041515;-;;;ABC transporter ATP-binding protein;;;WP_012074373.1;705;235;POG001621;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664870;PSPA7_1039;CDS;1041604;1042176;-;;;hypothetical protein;;;WP_003151983.1;573;191;POG001622;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664872;PSPA7_1040;CDS;1042309;1042653;+;;;hypothetical protein;;;WP_012074374.1;345;115;POG001623;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664874;PSPA7_1041;CDS;1042679;1043548;-;;;thioredoxin;;;WP_012074375.1;870;290;POG001624;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664876;PSPA7_1042;CDS;1043620;1044282;-;;;hypothetical protein;;;WP_012074376.1;663;221;POG001625;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664878;PSPA7_1043;CDS;1044279;1044737;-;;;putative lipoprotein;;;WP_012074377.1;459;153;POG001626;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664880;PSPA7_1044;CDS;1044873;1045400;+;nrdR;;transcriptional regulator NrdR;;;YP_001346430.1;528;176;POG001627;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664882;PSPA7_1045;CDS;1045397;1046518;+;ribD;;riboflavin-specific deaminase/reductase;;;WP_012074379.1;1122;374;POG001628;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664884;PSPA7_1046;CDS;1046946;1047605;+;ribE;;riboflavin synthase subunit alpha;;;WP_012074380.1;660;220;POG001629;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664886;PSPA7_1047;CDS;1047632;1048729;+;ribB;;bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II-like protein;;;WP_012074381.1;1098;366;POG001630;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664888;PSPA7_1048;CDS;1048847;1049323;+;ribH;;6,7-dimethyl-8-ribityllumazine synthase;;;WP_003093311.1;477;159;POG001631;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664890;PSPA7_1049;CDS;1049320;1049799;+;nusB;;transcription antitermination protein NusB;;;WP_012074382.1;480;160;POG001632;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664892;PSPA7_1050;CDS;1049818;1050786;+;thiL;;thiamine monophosphate kinase;;;WP_012074383.1;969;323;POG001633;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664894;PSPA7_1051;CDS;1050779;1051294;+;pg;;phosphatidylglycerophosphatase A;;;WP_012074384.1;516;172;POG001634;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664896;PSPA7_1052;CDS;1051303;1052046;+;;;hypothetical protein;;;WP_012074385.1;744;248;POG001635;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664898;PSPA7_1053;CDS;1052051;1052695;+;;;hypothetical protein;;;WP_003155194.1;645;215;POG001636;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664900;PSPA7_1054;CDS;1052826;1053443;+;ribA;;GTP cyclohydrolase II;;;WP_012074386.1;618;206;POG001637;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664902;PSPA7_1055;CDS;1053440;1053859;+;;;hypothetical protein;;;WP_012074387.1;420;140;POG001638;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664904;PSPA7_1056;CDS;1053859;1054656;+;;;hypothetical protein;;;WP_012074388.1;798;266;POG001639;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664906;PSPA7_1057;CDS;1054839;1056722;-;dxs;;1-deoxy-D-xylulose-5-phosphate synthase;;;WP_012074389.1;1884;628;POG001640;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664908;PSPA7_1058;CDS;1056831;1057718;-;is;;geranyltranstransferase;;;WP_003155202.1;888;296;POG001641;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664910;PSPA7_1059;CDS;1057715;1057957;-;xseB;;exodeoxyribonuclease VII small subunit;;;WP_003155204.1;243;81;POG001642;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664912;PSPA7_1060;CDS;1057947;1058081;+;;;hypothetical protein;;;YP_001346446.1;135;45;POG023991;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664914;PSPA7_1061;CDS;1058114;1059280;+;;;hypothetical protein;;;WP_012074391.1;1167;389;POG001643;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664916;PSPA7_1062;CDS;1059792;1061213;-;;;MocR family transcriptional regulator;;;WP_012074392.1;1422;474;POG020029;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664918;PSPA7_1063;CDS;1061349;1063445;-;;;thiol:disulfide interchange protein;;;WP_012074393.1;2097;699;POG023992;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664920;PSPA7_1064;CDS;1063442;1064527;-;;;thiol-disulfide isomerase and thioredoxin;;;WP_012074394.1;1086;362;POG023993;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664922;PSPA7_1065;CDS;1065013;1066020;-;;;hypothetical protein;;;WP_012074395.1;1008;336;POG001644;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664924;PSPA7_1066;CDS;1066022;1067824;-;;;hypothetical protein;;;WP_012074396.1;1803;601;POG001645;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664926;PSPA7_1067;CDS;1067834;1068568;-;;;hypothetical protein;;;WP_012074397.1;735;245;POG001646;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664928;PSPA7_1068;CDS;1068565;1069491;-;;;ABC transporter ATP-binding protein;;;WP_012074398.1;927;309;POG001647;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664930;PSPA7_1069;CDS;1069842;1072097;-;;;CHASE domain-containing protein/sensory box histidine kinase;;;YP_001346455.1;2256;752;POG001648;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664932;PSPA7_1070;CDS;1072161;1073168;-;;;hypothetical protein;;;WP_003150478.1;1008;336;POG001649;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664934;PSPA7_1071;CDS;1073333;1074022;-;aqpZ;;aquaporin Z;;;WP_012074400.1;690;230;POG001650;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664936;PSPA7_1072;CDS;1074369;1074638;-;;;hypothetical protein;;;WP_012074401.1;270;90;POG001651;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664938;PSPA7_1073;CDS;1074833;1075549;+;;;DNA-binding response regulator;;;WP_012074402.1;717;239;POG001652;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664940;PSPA7_1074;CDS;1075614;1076141;-;ppa;;inorganic pyrophosphatase;;;WP_003093248.1;528;176;POG001653;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664942;PSPA7_1075;CDS;1076222;1077052;-;;;hypothetical protein;;;WP_012074403.1;831;277;POG001654;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664944;PSPA7_1076;CDS;1077055;1077720;-;;;hypothetical protein;;;WP_012074404.1;666;222;POG001655;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664946;PSPA7_1078;CDS;1077914;1079497;+;;;putative protein kinase;;;WP_012074405.1;1584;528;POG014272;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664948;PSPA7_1077;CDS;1079390;1080286;-;;;hypothetical protein;;;WP_003156280.1;897;299;POG001427;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664950;PSPA7_1080;CDS;1080263;1080352;+;;;hypothetical protein;;;YP_001346465.1;90;30;POG023994;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664952;PSPA7_1079;CDS;1080333;1080794;-;;;acetyltransferase;;;WP_003156278.1;462;154;POG001657;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664954;PSPA7_1081;CDS;1080955;1081776;-;;;ethanolamine ammonia-lyase small subunit;;;WP_012074407.1;822;274;POG001658;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664956;PSPA7_1082;CDS;1081787;1083181;-;eutB;;ethanolamine ammonia-lyase large subunit;;;WP_012074408.1;1395;465;POG001659;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664958;PSPA7_1083;CDS;1083242;1084690;-;eat;;ethanolamine permease;;;WP_003155254.1;1449;483;POG001660;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664960;PSPA7_1084;CDS;1084702;1084845;-;;;hypothetical protein;;;YP_001346470.1;144;48;POG023995;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664962;PSPA7_1085;CDS;1084896;1086416;-;;;acetaldehyde dehydrogenase 2;;;WP_012074410.1;1521;507;POG001661;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664964;PSPA7_1087;CDS;1086402;1086680;+;;;mucin TcMUC;;;YP_001346472.1;279;93;POG023996;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664966;PSPA7_1086;CDS;1086631;1086780;-;;;hypothetical protein;;;YP_001346473.1;150;50;POG023997;0;;;;;
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664968;PSPA7_1088;CDS;1086754;1088676;+;;;transcriptional regulator;;;WP_012074413.1;1923;641;POG001662;0;;;;;
